Date,Symbol,Name,Sector,Open,High,Low,Close,Volume,AdjustedClose,PriceChange,PriceChangePercent

2025-07-30,AAPL,AAPL,Unknown,211.89999389648438,212.38999938964844,207.72000122070312,209.0500030517578,45512500,209.0500030517578,-2.8499908447265625,-1.3449697625375188
2025-07-31,AAPL,AAPL,Unknown,208.49000549316406,209.83999633789062,207.16000366210938,207.57000732421875,80698400,207.57000732421875,-0.9199981689453125,-0.4412672764668699
2025-08-01,AAPL,AAPL,Unknown,210.8699951171875,213.5800018310547,201.5,202.3800048828125,104434500,202.3800048828125,-8.489990234375,-4.026172727730576
2025-08-04,AAPL,AAPL,Unknown,204.50999450683594,207.8800048828125,201.67999267578125,203.35000610351562,75109300,203.35000610351562,-1.1599884033203125,-0.5672037721762976
2025-08-05,AAPL,AAPL,Unknown,203.39999389648438,205.33999633789062,202.16000366210938,202.9199981689453,44155100,202.9199981689453,-0.4799957275390625,-0.23598610714971063
2025-08-06,AAPL,AAPL,Unknown,205.6300048828125,215.3800048828125,205.58999633789062,213.25,108483100,213.25,7.6199951171875,3.70568250559061
2025-08-07,AAPL,AAPL,Unknown,218.8800048828125,220.85000610351562,216.5800018310547,220.02999877929688,90224800,220.02999877929688,1.149993896484375,0.5253992465415364
2025-08-08,AAPL,AAPL,Unknown,220.8300018310547,231,219.25,229.35000610351562,113854000,229.35000610351562,8.520004272460938,3.858173346834974
2025-08-11,AAPL,AAPL,Unknown,227.9199981689453,229.55999755859375,224.75999450683594,227.17999267578125,61806100,227.17999267578125,-0.7400054931640625,-0.3246777374118504
2025-08-12,AAPL,AAPL,Unknown,228.00999450683594,230.8000030517578,227.07000732421875,229.64999389648438,55626200,229.64999389648438,1.6399993896484375,0.7192664484710861
2025-08-13,AAPL,AAPL,Unknown,231.07000732421875,235,230.42999267578125,233.3300018310547,69878500,233.3300018310547,2.2599945068359375,0.9780561886878274
2025-08-14,AAPL,AAPL,Unknown,234.05999755859375,235.1199951171875,230.85000610351562,232.77999877929688,51916300,232.77999877929688,-1.279998779296875,-0.5468678085312056
2025-08-15,AAPL,AAPL,Unknown,234,234.27999877929688,229.33999633789062,231.58999633789062,56038700,231.58999633789062,-2.410003662109375,-1.0299160949185364
2025-08-18,AAPL,AAPL,Unknown,231.6999969482422,233.1199951171875,230.11000061035156,230.88999938964844,37476200,230.88999938964844,-0.80999755859375,-0.3495889379639006
2025-08-19,AAPL,AAPL,Unknown,231.27999877929688,232.8699951171875,229.35000610351562,230.55999755859375,39402600,230.55999755859375,-0.720001220703125,-0.3113114945102534
2025-08-20,AAPL,AAPL,Unknown,229.97999572753906,230.47000122070312,225.77000427246094,226.00999450683594,42263900,226.00999450683594,-3.970001220703125,-1.72623762694841
2025-08-21,AAPL,AAPL,Unknown,226.27000427246094,226.52000427246094,223.77999877929688,224.89999389648438,30621200,224.89999389648438,-1.3700103759765625,-0.605475913779043
2025-08-22,AAPL,AAPL,Unknown,226.1699981689453,229.08999633789062,225.41000366210938,227.75999450683594,42477800,227.75999450683594,1.589996337890625,0.7030093959247962
2025-08-25,AAPL,AAPL,Unknown,226.47999572753906,229.3000030517578,226.22999572753906,227.16000366210938,30983100,227.16000366210938,0.6800079345703125,0.3002507715464542
2025-08-26,AAPL,AAPL,Unknown,226.8699951171875,229.49000549316406,224.69000244140625,229.30999755859375,54575100,229.30999755859375,2.44000244140625,1.0755068955442477
2025-08-27,AAPL,AAPL,Unknown,228.61000061035156,230.89999389648438,228.25999450683594,230.49000549316406,31259500,230.49000549316406,1.8800048828125,0.8223633602174849
2025-08-28,AAPL,AAPL,Unknown,230.82000732421875,233.41000366210938,229.33999633789062,232.55999755859375,38074700,232.55999755859375,1.739990234375,0.7538299017255217
2025-08-29,AAPL,AAPL,Unknown,232.50999450683594,233.3800048828125,231.3699951171875,232.13999938964844,39389400,232.13999938964844,-0.3699951171875,-0.15913084423414836
2025-07-30,MSFT,MSFT,Unknown,515.1699829101562,515.9500122070312,509.44000244140625,513.239990234375,26380400,513.239990234375,-1.92999267578125,-0.374632206806551
2025-07-31,MSFT,MSFT,Unknown,555.22998046875,555.4500122070312,531.9000244140625,533.5,51617300,533.5,-21.72998046875,-3.913690044331644
2025-08-01,MSFT,MSFT,Unknown,535,535.7999877929688,520.8599853515625,524.1099853515625,28977600,524.1099853515625,-10.8900146484375,-2.0355167567172896
2025-08-04,MSFT,MSFT,Unknown,528.27001953125,538.25,528.1300048828125,535.6400146484375,25349000,535.6400146484375,7.3699951171875,1.395118943855099
2025-08-05,MSFT,MSFT,Unknown,537.1799926757812,537.2999877929688,527.239990234375,527.75,19171600,527.75,-9.42999267578125,-1.755462378412293
2025-08-06,MSFT,MSFT,Unknown,530.9000244140625,531.7000122070312,524.030029296875,524.9400024414062,21355700,524.9400024414062,-5.96002197265625,-1.12262604983568
2025-08-07,MSFT,MSFT,Unknown,526.7999877929688,528.0900268554688,517.5499877929688,520.8400268554688,16079100,520.8400268554688,-5.9599609375,-1.1313517607449626
2025-08-08,MSFT,MSFT,Unknown,522.5999755859375,524.6599731445312,519.4099731445312,522.0399780273438,15531000,522.0399780273438,-0.55999755859375,-0.10715606290755801
